mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
7.0489999999999995,0.6809999999999999,2.907,0.431,0.8390000000000001,0.26899999999999996,4.446000000000001,8.0,0.0
6.781000000000001,0.684,2.832,0.441,0.8420000000000001,0.272,4.388,8.078,0.0
7.001,0.6920000000000001,2.701,0.45299999999999996,0.818,0.261,4.234,8.059,0.0
7.0120000000000005,0.68,2.7489999999999997,0.419,0.8240000000000001,0.271,4.263999999999999,8.002,0.0
6.734,0.7020000000000001,2.8739999999999997,0.447,0.7859999999999999,0.262,4.369,8.062000000000001,0.0
6.9670000000000005,0.7,2.7289999999999996,0.441,0.787,0.252,4.209,8.078,0.0
7.2860000000000005,0.691,2.864,0.428,0.818,0.26899999999999996,4.379,8.083,0.0
6.735,0.6859999999999999,2.8110000000000004,0.433,0.799,0.265,4.308,8.062999999999999,0.0
7.072,0.6829999999999999,2.784,0.444,0.809,0.255,4.291,8.142000000000001,0.0
7.7139999999999995,0.6859999999999999,2.68,0.424,0.826,0.265,4.194,7.978,0.0
7.425,0.684,2.492,0.41600000000000004,0.823,0.275,4.007,8.144,0.0
7.431,0.685,2.419,0.447,0.816,0.27699999999999997,3.9589999999999996,8.177999999999999,0.0
7.687,0.677,2.635,0.431,0.818,0.26899999999999996,4.152,8.029,0.0
7.59,0.6890000000000001,2.488,0.418,0.805,0.261,3.971,8.056000000000001,0.0
7.602,0.688,2.6319999999999997,0.43,0.8109999999999999,0.267,4.14,8.078,0.0
8.033,0.688,2.476,0.423,0.82,0.266,3.985,7.981,0.0
7.75,0.685,2.458,0.418,0.818,0.268,3.9619999999999997,8.041,0.0
7.6979999999999995,0.6940000000000001,2.546,0.436,0.797,0.27,4.0489999999999995,8.095,0.0
7.922000000000001,0.6920000000000001,2.443,0.431,0.7959999999999999,0.271,3.9410000000000003,7.986000000000001,0.0
7.57,0.69,2.485,0.419,0.7829999999999999,0.259,3.947,8.086,0.0
7.681,0.705,2.516,0.418,0.765,0.266,3.966,8.093,0.0
7.962999999999999,0.68,2.306,0.434,0.8029999999999999,0.265,3.8080000000000003,8.029,0.0
7.754,0.705,2.427,0.409,0.775,0.26,3.87,8.051,0.0
7.502999999999999,0.691,2.456,0.42100000000000004,0.789,0.268,3.9339999999999997,8.122,0.0
7.915,0.701,2.37,0.43,0.773,0.259,3.832,8.078,0.0
7.938,0.691,2.51,0.402,0.8029999999999999,0.257,3.971,8.06,0.0
7.612,0.69,2.425,0.423,0.7929999999999999,0.272,3.9130000000000003,8.181000000000001,0.0
7.938,0.701,2.387,0.436,0.774,0.26,3.8569999999999998,8.214,0.0
8.241,0.698,2.39,0.396,0.778,0.261,3.826,8.307,0.0
7.473,0.708,2.3569999999999998,0.425,0.759,0.255,3.7960000000000003,8.326,0.0
7.949,0.6970000000000001,2.388,0.414,0.7829999999999999,0.261,3.847,8.347999999999999,0.0
8.23,0.684,2.345,0.39,0.785,0.264,3.784,8.11,0.0
7.771,0.708,2.377,0.414,0.752,0.266,3.8089999999999997,8.332,0.0
7.813,0.7090000000000001,2.426,0.414,0.759,0.262,3.862,8.253,0.0
8.099,0.6890000000000001,2.336,0.39299999999999996,0.797,0.257,3.783,7.994,0.0
7.682,0.698,2.313,0.414,0.765,0.262,3.7539999999999996,8.078,0.0
7.808,0.696,2.351,0.42200000000000004,0.772,0.264,3.81,8.094,0.0
8.173,0.7,2.3040000000000003,0.40399999999999997,0.7509999999999999,0.26,3.719,7.865,0.0
7.8,0.706,2.385,0.39299999999999996,0.768,0.262,3.807,8.048,0.0
7.865,0.691,2.344,0.42100000000000004,0.8079999999999999,0.268,3.841,8.043,0.0
8.086,0.6920000000000001,2.427,0.401,0.772,0.261,3.861,7.862,0.0
7.527,0.7020000000000001,2.3609999999999998,0.39299999999999996,0.767,0.266,3.787,7.973,0.0
7.902,0.706,2.353,0.415,0.755,0.257,3.781,8.064,0.0
7.9670000000000005,0.71,2.331,0.402,0.747,0.251,3.7310000000000003,7.881,0.0
7.99,0.7,2.2680000000000002,0.39799999999999996,0.763,0.257,3.6860000000000004,7.9239999999999995,0.0
7.6979999999999995,0.703,2.38,0.41100000000000003,0.75,0.252,3.793,8.127,0.0
7.989,0.718,2.401,0.418,0.7440000000000001,0.26,3.823,7.907,0.0
7.855,0.711,2.194,0.392,0.742,0.256,3.5839999999999996,7.909,0.0
7.6739999999999995,0.7090000000000001,2.449,0.39899999999999997,0.752,0.254,3.8539999999999996,8.062000000000001,0.0
8.09,0.6940000000000001,2.278,0.41100000000000003,0.7559999999999999,0.264,3.7089999999999996,7.962999999999999,0.0
8.18,0.7190000000000001,2.313,0.392,0.736,0.256,3.696,7.896,0.0
7.803,0.7040000000000001,2.3569999999999998,0.397,0.748,0.256,3.759,8.035,0.0
7.942,0.7070000000000001,2.224,0.397,0.732,0.251,3.6039999999999996,7.943,0.0
8.205,0.713,2.246,0.38299999999999995,0.735,0.249,3.613,7.919,0.0
7.817,0.713,2.343,0.41100000000000003,0.738,0.255,3.747,8.007,0.0
8.047,0.711,2.285,0.41,0.716,0.251,3.662,7.973,0.0
8.269,0.6990000000000001,2.259,0.37,0.7509999999999999,0.256,3.635,8.012,0.0
7.768,0.718,2.276,0.40700000000000003,0.7190000000000001,0.249,3.65,7.979,0.0
7.949,0.7120000000000001,2.231,0.41600000000000004,0.726,0.251,3.623,7.9670000000000005,0.0
8.461,0.71,2.195,0.381,0.754,0.255,3.5860000000000003,7.907,0.0
7.862,0.71,2.31,0.389,0.727,0.261,3.687,8.001,0.0
8.045,0.7170000000000001,2.2680000000000002,0.408,0.727,0.253,3.656,7.972,0.0
8.527999999999999,0.7120000000000001,2.238,0.384,0.7290000000000001,0.257,3.608,7.895,0.0
7.965,0.7140000000000001,2.362,0.38299999999999995,0.733,0.265,3.742,7.979,0.0
8.066,0.713,2.2840000000000003,0.418,0.718,0.25,3.67,8.035,0.0
8.18,0.715,2.201,0.38799999999999996,0.732,0.261,3.582,7.874,0.0
7.935,0.71,2.249,0.373,0.72,0.253,3.595,8.066,0.0
7.944,0.713,2.325,0.402,0.7090000000000001,0.254,3.69,7.996,0.0
8.411,0.7140000000000001,2.1719999999999997,0.401,0.727,0.265,3.5660000000000003,7.905,0.0
7.776,0.7190000000000001,2.256,0.39,0.731,0.256,3.633,8.025,0.0
7.95,0.716,2.349,0.396,0.718,0.245,3.708,8.173,0.0
8.097000000000001,0.722,2.302,0.395,0.711,0.251,3.658,7.898,0.0
8.181000000000001,0.72,2.1830000000000003,0.377,0.71,0.259,3.529,7.952999999999999,0.0
8.103,0.72,2.325,0.39,0.7,0.256,3.6710000000000003,8.097999999999999,0.0
8.259,0.705,2.182,0.397,0.72,0.244,3.543,7.937,0.0
8.072000000000001,0.722,2.2159999999999997,0.37200000000000005,0.7120000000000001,0.254,3.555,7.91,0.0
8.12,0.722,2.3209999999999997,0.384,0.71,0.255,3.67,8.019,0.0
8.21,0.721,2.186,0.391,0.713,0.25,3.5389999999999997,7.944,0.0
8.222000000000001,0.732,2.187,0.381,0.688,0.243,3.5,7.915,0.0
8.094,0.7120000000000001,2.17,0.385,0.706,0.259,3.5189999999999997,8.057,0.0
8.251,0.7240000000000001,2.1790000000000003,0.391,0.688,0.22899999999999998,3.487,7.959,0.0
8.532,0.7140000000000001,2.177,0.359,0.7020000000000001,0.242,3.48,7.996,0.0
8.062000000000001,0.728,2.283,0.391,0.7,0.24100000000000002,3.615,8.046,0.0
8.16,0.72,2.1630000000000003,0.37799999999999995,0.7020000000000001,0.248,3.491,7.985,0.0
8.35,0.7240000000000001,2.1830000000000003,0.365,0.7040000000000001,0.243,3.495,7.893,0.0
8.11,0.731,2.225,0.385,0.6970000000000001,0.243,3.549,7.992999999999999,0.0
8.265,0.722,2.109,0.379,0.7070000000000001,0.253,3.449,7.977,0.0
8.594,0.7240000000000001,2.129,0.37200000000000005,0.701,0.253,3.455,7.968,0.0
8.35,0.723,2.195,0.377,0.698,0.261,3.531,7.999,0.0
7.9079999999999995,0.726,2.1959999999999997,0.392,0.6940000000000001,0.248,3.53,8.002,0.0
8.578,0.7190000000000001,2.083,0.374,0.69,0.249,3.397,7.88,0.0
8.312999999999999,0.71,2.215,0.364,0.713,0.257,3.549,8.046,0.0
8.316,0.731,2.1959999999999997,0.39399999999999996,0.67,0.257,3.517,8.011000000000001,0.0
8.276,0.718,2.1830000000000003,0.36700000000000005,0.685,0.247,3.4819999999999998,7.89,0.0
8.027,0.729,2.334,0.389,0.693,0.252,3.668,10.181,0.0
8.476,0.724,2.168,0.381,0.689,0.254,3.492,8.594,0.0
8.222,0.718,2.153,0.364,0.689,0.25,3.457,8.521,0.0
8.129,0.722,2.199,0.377,0.691,0.251,3.518,8.275,0.0
8.328,0.726,2.078,0.383,0.688,0.245,3.394,8.005,0.0
8.326,0.716,2.219,0.364,0.703,0.237,3.523,8.045,0.0
8.025,0.721,2.144,0.387,0.694,0.244,3.47,8.084,0.0
8.503,0.728,2.132,0.388,0.679,0.251,3.45,7.964,0.0
8.473,0.729,2.183,0.351,0.667,0.243,3.445,7.996,0.0
8.11,0.734,2.17,0.381,0.667,0.253,3.472,8.022,0.0
8.547,0.728,2.128,0.38,0.669,0.242,3.419,7.969,0.0
8.504,0.724,2.187,0.362,0.677,0.253,3.48,7.865,0.0
8.17,0.726,2.114,0.383,0.666,0.25,3.413,7.949,0.0
8.268,0.73,2.144,0.387,0.685,0.243,3.458,8.064,0.0
8.571,0.742,2.127,0.358,0.636,0.242,3.363,7.961,0.0
8.162,0.733,2.208,0.367,0.676,0.253,3.504,8.852,0.0
8.03,0.725,2.1,0.385,0.67,0.247,3.402,8.022,0.0
8.664,0.724,2.188,0.362,0.677,0.247,3.474,7.993,0.0
8.306,0.734,2.182,0.356,0.682,0.255,3.474,8.17,0.0
