mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
8.621,0.771,1.845,0.333,0.56,0.235,2.974,8.018,0.0
9.108,0.773,1.869,0.335,0.529,0.228,2.961,7.949,0.0
9.114,0.782,1.875,0.306,0.552,0.228,2.96,7.929,0.0
8.58,0.765,1.878,0.333,0.546,0.238,2.995,8.015,0.0
8.978,0.773,1.857,0.336,0.554,0.231,2.979,7.969,0.0
8.998,0.784,1.793,0.307,0.521,0.228,2.849,7.928,0.0
8.737,0.766,1.782,0.327,0.569,0.235,2.913,7.985,0.0
8.936,0.781,1.797,0.332,0.539,0.226,2.895,7.986,0.0
9.29,0.77,1.732,0.313,0.547,0.232,2.825,7.935,0.0
8.904,0.77,1.775,0.328,0.564,0.232,2.9,8.113,0.0
8.896,0.777,1.762,0.339,0.54,0.231,2.871,8.006,0.0
8.942,0.777,1.738,0.31,0.541,0.214,2.803,7.941,0.0
8.871,0.755,1.899,0.314,0.568,0.225,3.007,8.106,0.0
8.712,0.778,1.772,0.334,0.539,0.234,2.879,8.04,0.0
9.203,0.775,1.706,0.319,0.538,0.227,2.789,7.888,0.0
8.905,0.773,1.836,0.31,0.535,0.235,2.916,8.086,0.0
8.861,0.768,1.825,0.338,0.563,0.224,2.95,8.074,0.0
9.103,0.782,1.784,0.32,0.535,0.228,2.867,7.941,0.0
8.891,0.772,1.69,0.312,0.551,0.221,2.774,8.016,0.0
8.956,0.767,1.866,0.33,0.562,0.233,2.991,8.109,0.0
9.424,0.777,1.736,0.32,0.519,0.223,2.798,7.91,0.0
8.858,0.773,1.762,0.31,0.536,0.231,2.838,7.991,0.0
8.902,0.774,1.77,0.327,0.561,0.23,2.888,8.068,0.0
9.02,0.773,1.735,0.326,0.544,0.22,2.825,7.91,0.0
9.02,0.768,1.788,0.311,0.555,0.221,2.875,7.966,0.0
8.756,0.768,1.847,0.329,0.547,0.235,2.958,8.073,0.0
9.067,0.771,1.721,0.322,0.528,0.228,2.799,8.01,0.0
9.006,0.768,1.845,0.314,0.557,0.232,2.948,7.99,0.0
